Protein A (unique pairs!!)	Protein B (unique pairs!!)	Times detected (RIS >0) (Is still like to be able to filter for this. After all we have multi vector transformants that can give stochastic false positives)	uniqueABavgIS (max)	uniqueABsumIS (max)	Avg_RS (raw reads / # screens)	Avg_RIS (raw reads / # screens) => to know if interaction was sampled at all	Found in both orientations (1/0)	H47_avgIS	H47_sumIS	H47_found in both orientations	H47_times detected	Avg_RS (raw reads / # screens) in H47	Avg_RIS (raw reads / # screens) in H47	"Biogrid_all direct evidence (y2h, reconstituted complex, structure)"	Biogrid_all	Hippie	HuRI ?	Protein atlas (nuclear 1/0)	Youn-Gingras_data	Nanobret (pos/neg) unique	Nanobret MBU (mean)	Nanobret MBU std dev (from above)	Jaccard score	Cobinding prob	Cobinding odds ratio	Mean log min distance (bimodal)	Mean log min distance std dev	Meta RNA binding similarity A vs AB KS statistics	Meta RNA binding similarity B vs AB KS statistics
mbnl1	qk	8	6.56	12.07	6.36	570	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	zrsr2	4	1.4	12.04	0	118.64	0	0	0	0	0	0	0	0	0	0	0			N/A	N/A	N/A							
cep55	rbm22	9	9.55	12.03	4.82	650.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	1			N/A	N/A	N/A							
nxf1	mapre3	8	6.47	12.03	0.82	77	0	4.48	6.75	0	5	2	9.6	0	0	0	0			neg	1.19	0.34							
kif19a_cter	tfip11	8	7.77	12.03	2.09	291.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
emicsrrm3mut25	cpsf6	11	9.83	12.03	0.27	122.45	0	5.37	7.37	0	5	1	9	0	0	0	0			N/A	N/A	N/A							
pcbp3	cirbp	10	7.9	12.02	2.91	78.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm10wtv	mettl16	1	1.42	12.01	1	54.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
snw1	nin	4	3.75	12.01	0	96.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
prpf6	dynlt1c	3	3.58	11.99	0.27	34.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
sfpq	nono	11	8.09	11.99	0.55	185.64	0	N/A	N/A	N/A	N/A	N/A	N/A	1	1	1	0			N/A	N/A	N/A							
nme1	ube2i	8	8.11	11.98	0.55	208.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm47	rbfox2_gt	9	8.93	11.98	4.27	483	1	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	scaf11	3	1.44	11.97	0.09	39.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbfox2_orf	rbpms	10	10.04	11.97	1	571.36	1	0	7.17	0	5	0.8	5.4	0	0	0	0			N/A	N/A	N/A							
sf1	pspc1	8	4.55	11.96	1.27	53.91	0	0	0	0	4	0.4	1.8	0	0	0	0			N/A	N/A	N/A							
htatsf1	rps27	1	1.29	11.96	0	4.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
nono	ewsr1	5	4.96	11.94	0.09	31.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			pos	22.63	5.93							
ywhag	prrc2b	7	7.14	11.94	1.45	161.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm38	rbfox2_gt	11	5.72	11.94	0.64	95	1	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rpl23	ddx39	1	1.36	11.92	5.27	10.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	calr	4	2.55	11.91	0.36	168.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pef1	bag4	8	7.06	11.91	1.45	338.45	1	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	1			pos	15.89	0.45							
tacc3	tsnaxip1	1	0	11.91	0	7.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
txnl4a	hnrnpf	10	10.33	11.9	2.82	708.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	1	0	0			N/A	N/A	N/A							
myo1c	rbfox2_orf	2	1.36	11.89	0	62.27	0	0	0	0	0	0	0	0	0	0	0			N/A	N/A	N/A							
rbm22	krt31	5	4.51	11.89	0.82	112.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbfox2_orf	qki	9	7.87	11.89	4.91	1337.09	1	7.17	7.2	0	5	6.8	130	0	0	0	0			N/A	N/A	N/A							
grb2	cpsf6	10	10.09	11.88	0.36	193.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
cep55	rbm14	9	6.39	11.88	2	205.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
htatsf1	ubl5	2	1.71	11.88	0	14.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pcbp2	hnrnpr	2	1.7	11.88	0	1.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
sf3b2	mapre2	1	0	11.87	0	0.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ythdf1	bicd2	2	2.64	11.85	0.27	57.45	0	0	0	0	0	0	0	0	0	0	0			N/A	N/A	N/A							
srpk2	rnps1	8	5.95	11.85	2	488	1	0	0	0	0	0	0	1	1	1	1			N/A	N/A	N/A							
prpf6	sf3b2	7	6.95	11.84	0	42.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	exosc7	2	1.39	11.83	0	97.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	ptcd2	1	1.27	11.82	0.64	162	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pcbp2	qk	6	2.56	11.81	0	25.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	zcchc9	5	1.41	11.81	1.55	174.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm14	exosc7	7	5.93	11.81	1.55	281.09	1	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
htatsf1	nip7	1	1.65	11.81	0.18	6.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
prpf6	klc2	3	3.95	11.8	0	33.45	0	0	0	0	0	2.8	0	0	0	0	0			N/A	N/A	N/A							
ptbp1	pcbp1	5	0	11.8	0	3.45	1	0	0	0	3	0	1.2	1	1	1	0			N/A	N/A	N/A							
prpf6	cpsf6	6	2.6	11.79	0	29.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	thoc7	4	2.72	11.79	0.64	264.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbfox2_orf	alg13	11	10.38	11.78	6.91	1383	1	2.25	2.72	0	5	9.6	20.6	0	0	0	0			N/A	N/A	N/A							
tacc3	cul1	3	2.62	11.78	0.27	141.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbpms	cpsf7	11	11.67	11.75	0.64	402	1	8.01	9.71	0	5	0.4	21.2	0	0	0	0			N/A	N/A	N/A							
usp10	rack1	6	4.6	11.74	2	409.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	1			N/A	N/A	N/A							
snrpa	hnrnpk	9	4.92	11.73	0.09	53.27	1	0	6.3	0	5	0.2	3.6	0	0	1	1			N/A	N/A	N/A							
rbfox2_orf	mbnl1	7	3.3	11.72	5.55	148	0	0	1.32	0	5	21	4.4	0	0	0	0			N/A	N/A	N/A							
rbfox2_orf	rbm47	11	10.67	11.71	9.27	981.55	1	7.4	7.51	0	5	12.8	158.2	0	0	0	0			N/A	N/A	N/A							
wbp4	dmrtb1	4	4.56	11.71	2.55	215.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ptbp1	rbm10598f	6	6.9	11.7	0.09	180.91	0	6.54	6.57	0	5	8.4	74.2	0	0	0	0			N/A	N/A	N/A							
nxf1	srsf3	6	1.24	11.7	0	8	0	0	0	0	1	0	0.8	0	0	0	0			N/A	N/A	N/A							
ckap2	srek1	2	1.53	11.7	1.82	215.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
dcn	sf1	2	1.29	11.69	1.91	278.27	0	0	0	0	0	2	0	0	0	0	0			N/A	N/A	N/A							
nxf1	snrpa	10	7.82	11.68	0.09	59	0	2.76	6.15	0	5	0.2	9.8	0	0	0	0			N/A	N/A	N/A							
rbm47	pcbp3	8	6.61	11.67	0.91	129.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	1			N/A	N/A	N/A							
dusp14	rbpms	6	2.25	11.66	0	10.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ythdf1	nudt21	6	6.74	11.64	0.18	73.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
eif4enif1	rpl24	1	1.39	11.64	0	62	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
sugp2	nudt21	9	8.16	11.63	4.73	1342.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
hnrnpk	ewsr1	2	1.46	11.63	0	1.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	rad21	2	1.35	11.63	0	75.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
zc3h10	rbm14	8	2.94	11.63	0	24.64	1	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
nxf1	dmrtb1	11	8.6	11.62	1.45	118.82	0	4.38	6.84	0	5	2.2	14.8	0	0	0	0			N/A	N/A	N/A							
tacc3	rps8	2	1.46	11.61	0.27	44.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
u2af1	srrm3	7	5.35	11.61	2.91	163.55	0	5.23	6.2	0	5	12.6	24.6	0	0	0	0			N/A	N/A	N/A							
snrpn	tfip11	11	11.08	11.61	13.45	1599.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	kif20a	1	1.37	11.6	0.09	94.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
snw1	dynlt1c	6	5.69	11.56	3	53.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbpms	qk	11	9.58	11.56	4.82	1289.18	1	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			pos	13.46	0.64							
bysl	uso1	4	3.6	11.56	0	62.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
snrpc	bag4	9	7.75	11.56	3.09	192.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	1			N/A	N/A	N/A							
tacc3	myo19	1	1.5	11.56	0	57	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
prpf6	hnrnpll	1	1.33	11.53	0.45	13	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	rpa2	2	1.34	11.52	0	42	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
snrpc	rbpms	8	6.46	11.51	3.55	40.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	1			N/A	N/A	N/A							
tacc3	srpk1	2	1.37	11.5	0.09	72.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	twistnb	4	1.46	11.5	0.09	109.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	npm1	1	1.5	11.5	0.09	79.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pcbp3	qki	5	4.34	11.5	0	132.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	zc3h18	2	1.28	11.49	0.18	94.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	abcf2	1	1.35	11.49	0	93.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm3	rbmx	6	5.62	11.49	5.82	889.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	1			N/A	N/A	N/A							
ctbp1	rbm22	5	2.63	11.48	0.27	21.27	1	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			pos	5.25	0.61							
tacc3	brd4	2	1.39	11.48	0	9.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ptbp1	pcbp3	4	2.48	11.48	0.91	22.45	1	4.13	6.69	0	5	4.4	13.6	0	1	0	0			N/A	N/A	N/A							
eif4enif1	eif5a	1	0	11.47	0	9.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	rbm12b	2	1.36	11.47	0	31.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm47	rbm38	11	8.71	11.47	1.91	784.09	1	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
srsf9	rbmx	8	4.18	11.47	0.09	139.64	1	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	1			pos	39.77	1.32							
prpf6	krt31	1	1.27	11.47	0	54.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
wbp4	rbm22	4	3.61	11.47	1.36	163	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	med1	2	1.37	11.46	0	31.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
srsf11	srrm4	10	4.27	11.45	2.82	727.09	0	6.06	6.01	0	5	5.2	125.8	0	0	0	1			N/A	N/A	N/A							
map4	usp42	1	0	11.44	0	1.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
sf1	cttn	3	2.52	11.44	0.36	34.27	0	6.24	7.74	0	5	0.8	23.8	0	0	0	0			N/A	N/A	N/A							
tacc3	rps6	3	1.42	11.43	0.27	114.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
snw1	rbpms	6	5.95	11.42	0.09	32.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
qk	qki	11	9.35	11.42	24.18	710	1	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
hnrnpk	hnrnpll	3	0	11.41	0	4.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	1	1			N/A	N/A	N/A							
ythdf1	dynlt1c	1	1.48	11.41	0.09	10.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm38	qk	11	9.52	11.4	7.64	1399.36	1	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			pos	14.57	1.14							
eif4enif1	supv3l1	1	1.3	11.4	0	36.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	thoc1	2	1.29	11.4	0.09	38.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
acaa2	hnrnpa3	1	0	11.4	0	0.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	pard6g	1	1.47	11.4	0	41.73	0	0	0	0	0	0.4	0	0	0	0	0			N/A	N/A	N/A							
emicsrrm3	cpsf6	11	9.21	11.4	0.18	99.82	0	0	0	0	4	4.8	2.8	0	0	0	0			N/A	N/A	N/A							
pcbp2	igf2bp2	1	0	11.4	0	1.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
psmd4	rpl30	1	1.48	11.39	0.73	12.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbmx	khdrbs3	8	6.51	11.39	1.45	619.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	1			N/A	N/A	N/A							
eif3g	eif4a3	7	5.52	11.39	8.55	83.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			pos	3.49	0.28							
tacc3	cpsf7	6	1.33	11.39	0	49.45	0	0	0	0	0	0	0	0	0	0	0			N/A	N/A	N/A							
pcbp1	ptbp3	8	3.01	11.38	0.09	14.27	1	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm22	pspc1	7	2.47	11.38	0.09	63	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			pos	13.26	1.09							
tacc3	prpf38a	2	1.34	11.37	0.09	69.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	ppid	2	1.43	11.37	0.64	89.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ythdf1	rbm14	2	1.47	11.36	0	7.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
exosc8	exosc5	8	4.7	11.36	3	433.27	1	N/A	N/A	N/A	N/A	N/A	N/A	0	0	1	1			N/A	N/A	N/A							
qk	alg13	11	9.3	11.36	12.91	2080.18	1	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	rpl28	1	1.42	11.36	0	60.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
sf1	cnbp	1	0	11.34	0	1.27	0	0	0	0	0	0	0	0	0	0	0			N/A	N/A	N/A							
rbm38	dmrtb1	11	9.99	11.34	7.73	980.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
zrsr1	srpk2	6	3.45	11.33	5.64	531.91	0	0.52	2.38	0	4	4.8	5.4	0	0	0	0			N/A	N/A	N/A							
lsm3	tfip11	7	7.15	11.33	0.91	171	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	eef1a2	3	1.29	11.33	0	85.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
sf1	snrpa	7	5.37	11.32	2.18	59.64	0	6.46	6.48	0	5	7.4	19.8	0	0	0	0			N/A	N/A	N/A							
prpf6	klc4	5	4.15	11.32	2.18	112.09	0	0	0	0	1	4.2	0.4	0	0	0	0			N/A	N/A	N/A							
txnl4a	rbm14	7	6.93	11.31	0.27	204.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
wbp4	tacc3	2	1.46	11.31	0	99	1	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbfox2_orf	snrpc	10	6.99	11.3	10.55	138.82	0	0	0	0	1	9.8	0.2	0	0	0	0			N/A	N/A	N/A							
eif4enif1	ddx1	1	1.36	11.29	0	36.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ddx39ab	ddx39	11	10.24	11.28	36.45	4790.45	1	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pcbp2	rbfox2_orf	6	2.49	11.27	0	5.64	0	0	0	0	0	0	0	0	0	0	0			N/A	N/A	N/A							
sfpq	ewsr1	3	3.52	11.26	0	23.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
prc1	thoc1	4	3.26	11.26	3.36	439.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ywhae	ube2i	1	1.37	11.26	0.27	39.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	tubb5	1	1.25	11.26	0.09	34.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pcbp3	ube2i	7	4.51	11.26	5.64	62.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
khdrbs2	rbmx	10	8.93	11.25	1	638.55	1	N/A	N/A	N/A	N/A	N/A	N/A	0	0	1	1			N/A	N/A	N/A							
lsm7	lsm3	10	7.22	11.24	4.09	854.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	1	1			N/A	N/A	N/A							
fip1l1	fxr2	1	0	11.24	0	0.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
eif4enif1	trak2	2	1.37	11.21	0.09	27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
nono	kif24	4	4.58	11.2	0.36	189	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
nxf1	srsf9	5	1.19	11.2	0	4.09	0	0	0	0	1	0.4	1.4	0	0	0	0			N/A	N/A	N/A							
htatsf1	rbm17	2	2.67	11.19	0	7.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
sf1	rbm10784l	8	2.4	11.18	0.27	69.45	0	5.47	6.84	0	5	1.8	22	0	0	0	0			N/A	N/A	N/A							
bysl	mkrn1	7	5.68	11.18	8.18	1588.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	1			N/A	N/A	N/A							
pfn1	cpsf6	9	3.29	11.18	0.18	55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ptbp1	qki	5	3.39	11.17	0.27	101.82	0	5.98	5.96	0	5	5.4	26.2	1	1	1	0			pos	15.94	1.3							
utp6	tsnaxip1	1	1.32	11.17	0	12.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
sf1	akap8	3	0	11.17	0	4.18	0	0	0	0	3	0.2	2.6	0	0	0	0			N/A	N/A	N/A							
exosc7	eif4enif1	3	3.98	11.16	0.09	37.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
snw1	cttn	3	2.38	11.16	0	64.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	1	1	0			N/A	N/A	N/A							
nufip2	g3bp2	8	6.99	11.16	3.64	681.73	1	N/A	N/A	N/A	N/A	N/A	N/A	0	0	1	1			pos	4.17	3.03							
aurkb	lin28b	1	0	11.15	0	0.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbfox2_gt	qk	10	8.73	11.15	1.27	328.27	1	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			pos	18.22	0.5							
nxf1	rbm14	6	3.68	11.15	0.27	9.91	0	0	0	0	4	0	2	0	0	0	0			pos	11.67	4.04							
snrpb	tfip11	8	7.09	11.15	3.55	558.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	1			N/A	N/A	N/A							
imp3	tfip11	6	4.44	11.15	1.18	191.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
sfpq	cttn	10	7.14	11.14	0.45	201.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	rnpc3	5	2.54	11.14	0.36	123.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
eif4enif1	hook3	1	1.34	11.14	1.27	57.55	0	0	0	0	0	0	0	0	0	0	0			N/A	N/A	N/A							
rbfox2_orf	qk	10	10.16	11.14	4.45	1243.36	1	6.92	6.95	0	5	9.4	167.4	0	0	0	0			N/A	N/A	N/A							
tacc3	peg10	1	1.51	11.13	0	10.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
txnl4a	nudt21	9	7.6	11.13	4.82	1483.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
eif4enif1	hnrpll	1	1.36	11.13	0	56.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
alg13	prrc2b	10	10.06	11.12	1	249.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
prpf39	rbm14	2	1.24	11.12	0.18	17.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pcbp1	ptbp2	4	1.65	11.12	0	3.36	0	0	0	0	0	0	0	0	0	0	0			N/A	N/A	N/A							
tacc3	bmi1	3	1.28	11.11	0.27	119.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
med1	fez2	7	5.48	11.11	2.09	531.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ptbp1	rbm38	2	1.45	11.11	0	15.73	0	1.51	0	0	3	1.2	2	0	0	0	0			N/A	N/A	N/A							
tacc3	rprd1b	4	1.34	11.11	0	27.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	prpf39	5	1.3	11.1	0.27	47.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
hnrnpk	ralyl	2	2.5	11.1	0	4.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
dusp14	sf3b2	4	0	11.1	0.73	15.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	hdac1	1	1.38	11.09	0	59.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
snrpa	pef1	9	6.47	11.08	3.55	144.45	0	0	0	0	3	5	1.6	0	0	0	0			N/A	N/A	N/A							
dusp14	krt31	3	2.5	11.08	0	25.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
myo5a_cter	calm1	8	3.37	11.08	0.09	24.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm14	tfip11	6	4.46	11.07	0	31.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
qk	pcbp3	7	6.52	11.07	0.27	156	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
